time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2011,world,9975.47,70.45,6973845863,World,planet,
2011,eur,27660.17,76.19,820110684,Europe,region,
2011,asi,6758.61,71.03,4043369481,Asia,region,
2011,afr,2739.49,58.36,1041431732,Africa,region,
2011,ame,21729.6,76.1,933300178,America,region,
2011,_abk,,,,Abkhazia,country,eur
2011,afg,1261.35,60.07,32358260,Afghanistan,country,asi
2011,and,31630.74,,86165,Andorra,country,eur
2011,_akr,,,,Akrotiri and Dhekelia,country,
2011,alb,6914.26,76.97,3215988,Albania,country,eur
2011,dza,6354.64,70.74,35980193,Algeria,country,afr
2011,asm,,,69543,American Samoa,country,asi
2011,ago,5546.64,51.09,19618432,Angola,country,afr
2011,aia,18600.58,,15645,Anguilla,country,ame
2011,atg,13508.8,75.61,89612,Antigua and Barbuda,country,ame
2011,arg,15595.38,75.95,40764561,Argentina,country,ame
2011,arm,4767.39,74.38,3100236,Armenia,country,eur
2011,abw,23661.38,75.19,108141,Aruba,country,ame
2011,aus,35253.93,82.23,22605732,Australia,country,asi
2011,aut,36637.25,80.78,8413429,Austria,country,eur
2011,aze,9218.05,70.61,9306023,Azerbaijan,country,eur
2011,bhs,21129.18,74.92,347176,Bahamas,country,ame
2011,bhr,24036.72,76.33,1323535,Bahrain,country,asi
2011,bgd,1708.3,69.85,150493658,Bangladesh,country,asi
2011,brb,16273.99,75.04,273925,Barbados,country,ame
2011,blr,13248.85,69.72,9559441,Belarus,country,eur
2011,bel,32929.85,80.19,10754056,Belgium,country,eur
2011,blz,7289.3,73.46,317928,Belize,country,ame
2011,ben,1448.85,58.99,9099922,Benin,country,afr
2011,bmu,70979.13,,65077,Bermuda,country,ame
2011,btn,5627,67.46,738267,Bhutan,country,asi
2011,bol,4224.94,66.66,10088108,Bolivia,country,ame
2011,bih,7705.63,76.05,3752228,Bosnia and Herzegovina,country,eur
2011,bwa,13689.42,46.82,2030738,Botswana,country,afr
2011,bra,10383.07,73.39,196655014,Brazil,country,ame
2011,vgb,48741.15,,23478,British Virgin Islands,country,
2011,chn,7781.36,75.02,1347565324,China,country,asi
2011,brn,45764.66,78.15,405938,Brunei,country,asi
2011,bgr,11464.12,73.34,7446135,Bulgaria,country,eur
2011,bfa,1291.73,55.51,16967845,Burkina Faso,country,afr
