time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2014,world,10720.8,71,7207330525,World,planet,
2014,eur,26145.01,76.69,825094321,Europe,region,
2014,asi,7688.66,71.54,4165673702,Asia,region,
2014,afr,2939,59.61,1115054632,Africa,region,
2014,ame,22950.81,76.73,961473397,America,region,
2014,_abk,,,,Abkhazia,country,eur
2014,afg,1374.06,61.34,35623235,Afghanistan,country,asi
2014,and,,,90302,Andorra,country,eur
2014,_akr,,,,Akrotiri and Dhekelia,country,
2014,alb,7199.94,77.6,3248655,Albania,country,eur
2014,dza,6658.74,71.12,37473690,Algeria,country,afr
2014,asm,,,73009,American Samoa,country,asi
2014,ago,6267.64,52.3,21274503,Angola,country,afr
2014,aia,,,16390,Anguilla,country,ame
2014,atg,14395.22,76.12,92290,Antigua and Barbuda,country,ame
2014,arg,16337.87,76.48,41827217,Argentina,country,ame
2014,arm,5384.73,74.66,3125790,Armenia,country,eur
2014,abw,,75.58,109118,Aruba,country,ame
2014,aus,37418.89,82.62,23502754,Australia,country,asi
2014,aut,37386.7,81.3,8452081,Austria,country,eur
2014,aze,10079.32,70.82,9643103,Azerbaijan,country,eur
2014,bhs,22051.17,75.39,359142,Bahamas,country,ame
2014,bhr,25303.94,76.74,1389036,Bahrain,country,asi
2014,bgd,1978.51,71.05,156380192,Bangladesh,country,asi
2014,brb,16395.64,75.53,275746,Barbados,country,ame
2014,blr,14308.17,70.03,9469915,Belarus,country,eur
2014,bel,32554.91,80.71,10841093,Belgium,country,eur
2014,blz,7662.83,74.09,337209,Belize,country,ame
2014,ben,1505.65,59.49,9865290,Benin,country,afr
2014,bmu,,,65457,Bermuda,country,ame
2014,btn,7052.66,68.69,773646,Bhutan,country,asi
2014,bol,4624.13,67.54,10573218,Bolivia,country,ame
2014,bih,7882.54,76.53,3726569,Bosnia and Herzegovina,country,eur
2014,bwa,14884.85,48.07,2095201,Botswana,country,afr
2014,bra,10960.66,74.2,201700544,Brazil,country,ame
2014,vgb,,,24148,British Virgin Islands,country,
2014,chn,9664.71,75.48,1364773138,China,country,asi
2014,brn,47532.07,78.74,426570,Brunei,country,asi
2014,bgr,12264.74,73.65,7300838,Bulgaria,country,eur
2014,bfa,1491.78,56.74,18556912,Burkina Faso,country,afr
2014,bdi,506.9,54.54,9069456,Burundi,country,afr
2014,khm,2328.9,72.25,14835553,Cambodia,country,asi
2014,cmr,2216.75,55.51,21362945,Cameroon,country,afr
2014,can,36643.56,81.63,35309555,Canada,country,ame
2014,cpv,4125.05,75.4,515134,Cape Verde,country,afr
2014,cym,,,58169,Cayman Islands,country,
2014,caf,756.07,50.81,4759950,Central African Republic,country,afr
2014,tcd,2011.18,51.62,12458071,Chad,country,afr
2014,_cis,,80.46,154604,Channel Islands,country,
2014,chl,16617.68,80.21,17722868,Chile,country,ame
2014,cxr,,,,Christmas Island,country,asi
2014,cck,,,,Cocos Island,country,asi
2014,col,8538.28,74.24,48770570,Colombia,country,ame
2014,com,1061.18,61.08,812608,Comoros,country,afr
2014,cod,437.96,50.27,73291196,Dem. Rep. Congo,country,afr
2014,cog,4426.11,59.21,4415338,Rep. Congo,country,afr
2014,cok,,,20737,Cook Is,country,asi
2014,cri,11523.06,80.14,4924721,Costa Rica,country,ame
2014,civ,1638.85,51.08,21532811,Cote d'Ivoire,country,afr
2014,hrv,13562.64,77.21,4369961,Croatia,country,eur
2014,cub,,79.43,11238373,Cuba,country,ame
2014,cyp,,80,1153409,Cyprus,country,eur
2014,cze,22913.18,77.83,10611300,Czech Republic,country,eur
2014,_csk,,,,Czechoslovakia,country,eur
2014,dnk,33270.37,79.52,5628958,Denmark,country,eur
2014,dji,2340.03,62.25,957625,Djibouti,country,afr
2014,dma,10513.19,,67750,Dominica,country,ame
2014,dom,7119.84,73.62,10431820,Dominican Republic,country,ame
2014,_ddr,,,,East Germany,country,eur
2014,ecu,8327.25,76.74,15255149,Ecuador,country,ame
2014,egy,6088.21,71.37,86787634,Egypt,country,afr
2014,slv,5970.81,72.83,6342991,El Salvador,country,ame
2014,gnq,12422.56,53.53,781773,Equatorial Guinea,country,afr
2014,eri,611,63.36,5914510,Eritrea,country,afr
2014,_eae,,,,Eritrea and Ethiopia,country,
2014,est,20038.13,74.55,1337821,Estonia,country,eur
2014,eth,1036.99,64.22,90178951,Ethiopia,country,afr
2014,fro,,,49585,Faeroe Islands,country,
2014,flk,,,3053,Falkland Is (Malvinas),country,
2014,fji,4332.07,69.99,889587,Fiji,country,asi
2014,fin,31789.09,80.69,5434241,Finland,country,eur
2014,fra,29863.96,81.95,64101308,France,country,eur
2014,guf,,77.35,255738,French Guiana,country,ame
2014,pyf,,76.46,282482,French Polynesia,country,asi
2014,gab,15252.1,63.83,1625091,Gabon,country,afr
2014,gmb,836.81,59.04,1924758,Gambia,country,afr
2014,geo,5511.45,74.44,4251727,Georgia,country,eur
2014,deu,34980.38,80.9,81625599,Germany,country,eur
2014,gha,1876.89,61.28,26721130,Ghana,country,afr
2014,gib,,,29341,Gibraltar,country,eur
2014,grc,21122.32,80.94,11470255,Greece,country,eur
2014,grl,,,57294,Greenland,country,eur
2014,grd,8605.96,72.89,106130,Grenada,country,ame
2014,glp,,81.18,469273,Guadeloupe,country,ame
2014,gum,,79.12,188786,Guam,country,asi
2014,gtm,5378.86,72.41,15924031,Guatemala,country,ame
2014,gbg,,,,Guernsey,country,eur
2014,gin,1010.9,56.36,11034203,Guinea,country,afr
2014,gnb,653.33,54.52,1646870,Guinea-Bissau,country,afr
2014,guy,4740.96,66.45,760972,Guyana,country,ame
2014,hti,1329,63.41,10521433,Haiti,country,ame
2014,hos,,,460,Holy See,country,eur
2014,hnd,3690.96,74.11,8231762,Honduras,country,ame
2014,hkg,46337.77,83.55,7352945,Hong Kong,country,China
2014,hun,17335.19,74.75,9918377,Hungary,country,eur
2014,isl,35377.93,82.21,335631,Iceland,country,eur
2014,ind,3531.51,66.65,1291780156,India,country,asi
2014,idn,4815.25,71.03,249563467,Indonesia,country,asi
2014,irn,11992.57,74.35,77176386,Iran,country,asi
2014,irq,4623.1,69.64,35870865,Iraq,country,asi
2014,irl,36599.4,80.88,4682042,Ireland,country,eur
2014,gbm,,,84453,Isle of Man,country,eur
2014,isr,28159.28,81.95,7939745,Israel,country,asi
2014,ita,25423.23,82.53,61175248,Italy,country,eur
2014,jam,7014.33,73.69,2780689,Jamaica,country,ame
2014,jpn,32357.49,83.73,126225259,Japan,country,asi
2014,jey,,,,Jersey,country,eur
