time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2012,world,10149.75,70.65,7051957949,World,planet,
2012,eur,25873.05,76.36,821936285,Europe,region,
2012,asi,7031.39,71.2,4084661284,Asia,region,
2012,afr,2780.92,58.83,1065516575,Africa,region,
2012,ame,22053.94,76.33,942744379,America,region,
2012,_abk,,,,Abkhazia,country,eur
2012,afg,1349.69,60.52,33397058,Afghanistan,country,asi
2012,and,,,87518,Andorra,country,eur
2012,_akr,,,,Akrotiri and Dhekelia,country,
2012,alb,6969.3,77.18,3227373,Albania,country,eur
2012,dza,6419.12,70.87,36485828,Algeria,country,afr
2012,asm,,,70680,American Samoa,country,asi
2012,ago,5838.15,51.49,20162517,Angola,country,afr
2012,aia,,,15911,Anguilla,country,ame
2012,atg,13722.98,75.78,90510,Antigua and Barbuda,country,ame
2012,arg,15714.1,76.12,41118986,Argentina,country,ame
2012,arm,5059.08,74.46,3108972,Armenia,country,eur
2012,abw,,75.32,108587,Aruba,country,ame
2012,aus,36064.73,82.36,22918688,Australia,country,asi
2012,aut,36731.62,80.96,8428915,Austria,country,eur
2012,aze,9291.02,70.68,9421233,Azerbaijan,country,eur
2012,bhs,21418.22,75.07,351275,Bahamas,country,ame
2012,bhr,24472.89,76.47,1359485,Bahrain,country,asi
2012,bgd,1792.55,70.25,152408774,Bangladesh,country,asi
2012,brb,16233.41,75.2,274530,Barbados,country,ame
2012,blr,13515.16,69.82,9527498,Belarus,country,eur
2012,bel,32585.01,80.37,10787788,Belgium,country,eur
2012,blz,7550.13,73.67,324292,Belize,country,ame
2012,ben,1464.13,59.16,9351838,Benin,country,afr
2012,bmu,,,65208,Bermuda,country,ame
2012,btn,6130.86,67.88,750443,Bhutan,country,asi
2012,bol,4363.43,66.96,10248042,Bolivia,country,ame
2012,bih,7664.15,76.21,3744235,Bosnia and Herzegovina,country,eur
2012,bwa,14045.94,47.15,2053237,Botswana,country,afr
2012,bra,10383.54,73.66,198360943,Brazil,country,ame
2012,vgb,,,23705,British Virgin Islands,country,
2012,chn,8346.86,75.17,1353600687,China,country,asi
2012,brn,45658.25,78.35,412892,Brunei,country,asi
2012,bgr,11669.72,73.44,7397873,Bulgaria,country,eur
2012,bfa,1363.77,55.93,17481984,Burkina Faso,country,afr
2012,bdi,484.09,53.63,8749387,Burundi,country,afr
2012,khm,2076.68,71.57,14478320,Cambodia,country,asi
2012,cmr,2094.09,54.61,20468943,Cameroon,country,afr
2012,can,35992.83,81.32,34674708,Canada,country,ame
2012,cpv,3896.04,74.77,505335,Cape Verde,country,afr
2012,cym,,,57223,Cayman Islands,country,
2012,caf,718.26,49.51,4575586,Central African Republic,country,afr
2012,tcd,1768.88,50.72,11830573,Chad,country,afr
2012,_cis,,80.18,154218,Channel Islands,country,
2012,chl,15403.76,79.69,17423214,Chile,country,ame
2012,cxr,,,,Christmas Island,country,asi
